Branch Name,Branch Number,Address1,Branch City,Branch Province,PostalCode,Branch Country,Region Name,Latitude,Longitude,BranchJoinKey,Telephone1,Division Name,LOBName
Adelaide,20,23/25 Matthews Rd,Gepps Cross,SA,5094,AU,Australia,-34.83618692,138.6060488,207,,South Australia,AU-AG
Admin ON - TT,5,,,ON,,CA,CA Central,,,53,,Transportation ON,CA-TT
Admin SK - TT,59,,,SK,,CA,CA West,,,593,,Transportation SK,CA-TT
All Territories,198,,,NT,,CA,CA West,61.1131,-126.305,1981,,Territories,CA-CF
Ayr - TT,7,7 Cochran Drive,Ayr,ON,N0B 1E0,CA,CA Central,43.33790462,-80.43158272,73,(519) 622-7799,Transportation ON,"CA-TT,CA-TT"
Baie-Comeau,168,"2014, avenue du Labrador",Baie-Comeau,QC,G4Z 3C1,CA,CA East,49.21145409,-68.23347703,1681,,Eastern Quebec,CA-CF
Ballarat,5,21 Airport Road,Ballarat,VIC,3355,AU,Australia,-37.51771295,143.8021519,57,03 5334 7555,Southwest Victoria,"AU-AG,AU-CF"
Barrie,154,35 Line 4 South RR#1,Oro-Medonte,ON,L0L 2L0,CA,CA Central,44.45919898,-79.57982425,1541,,South Central Ontario,CA-CF
Barrie - TT,17,3269 Thomas Street,Barrie,ON,L9S 3W5,CA,CA Central,44.29751212,-79.66992314,173,(705) 431-7175,Transportation ON,"CA-TT,CA-TT"
Bassano - AG,312,Old Highway 1,Bassano,AB,T0J 0B0,CA,CA West,50.78842611,-112.449788,3121,(403) 641-3813,Southern Alberta,CA-AG
Bathurst,141,3338 Route 134,Bathurst,NB,E8L 1T8,CA,CA East,47.56821554,-65.57602039,1411,,Atlantic Division,CA-CF
Belleville - TT,21,107b Bellevue Dr,Belleville,ON,K8N 4Z5,CA,CA Central,44.18146447,-77.44262718,213,,Transportation ON,"CA-TT,CA-TT"
Bordertown,16,3 Cleggett Rd,Bordertown,SA,5268,AU,Australia,-36.31009261,140.7393448,167,(08) 8750 1000,Southwest Victoria - CF,"AU-CF,AU-AG"
Brandon,999,1825 18th Street North,Brandon,MB,R7C 1A6,CA,CA West,49.88210926,-99.9607397,9991,,Saskatchewan / Manitoba Division,CA-CF
Brandt Finance,50,,,,,AU,Australia,,,507,,Corporate Services - AU,AU-AG
Brandt Finance,50,,,,,NZ,New Zealand,,,508,,Corporate Services - NZ,NZ-AG
Brandt Rentals,63,,,,,AU,Australia,,,637,,Corporate Services - AU,AU-AG
Brandt Rentals,63,,,,,NZ,New Zealand,,,638,,Corporate Services - NZ,"NZ-AG,NZ-AG"
Brooks - AG,311,Highway 873 North,Brooks,AB,T1R 1B7,CA,CA West,50.60036225,-111.8952788,3111,(403) 362-3486,Southern Alberta,CA-AG
Brossard,162,3855 Boul. Matte,Brossard,QC,J4Y 2Z2,CA,CA East,45.43075181,-73.46040489,1621,,Western Quebec,CA-CF
BTRT Admin - TT,79,,,SK,,CA,CA West,,,793,,BTRT,CA-TT
BTRT Ayr - TT,83,7 Cochran Dr,Ayr,ON,N0B 1E0,CA,CA Central,43.33791242,-80.43175438,833,,BTRT,CA-TT
BTRT Barrie - TT,87,3269 Thomas St,Innisfil,ON,L9S 3W5,CA,CA Central,44.30110575,-79.65287503,873,,BTRT,CA-TT
BTRT Calgary - TT,72,10121 Barlow Trail NE,Calgary,AB,T3J 3C6,CA,CA West,51.14575326,-114.0025815,723,,BTRT,CA-TT
BTRT Cardinal - TT,91,"2085 Shanly Road, 22",Cardinal,ON,K0E 1E0,CA,CA Central,44.80897709,-75.40228095,913,,BTRT,CA-TT
BTRT Estevan - TT,78,1 Frontier Street,Estevan,SK,S4A 2K9,CA,CA West,49.13134927,-102.9225123,783,,BTRT,CA-TT
BTRT Grande Prairie - TT,74,7101 102 St,Clairmont,AB,T8X 5A7,CA,CA West,55.23218922,-118.7979354,743,,BTRT,CA-TT
BTRT Hagersville - TT,89,4011 Hwy 6,Hagersville,ON,N0A 1H0,CA,CA Central,42.96970068,-80.04682239,893,,BTRT,CA-TT
BTRT Kamloops - TT,95,8110 Dallas Dr,Kamloops,BC,V2C 6X2,CA,CA West,50.65867253,-120.1125553,953,,BTRT,CA-TT
BTRT Lloydminster - TT,77,5201 40 Ave,Lloydminster,SK,S9V 2B5,CA,CA West,53.28468809,-109.9786012,773,,BTRT,CA-TT
BTRT London - TT,81,31 Buchanan Ct,London,ON,N5Z 4P9,CA,CA Central,42.93656375,-81.18586124,813,,BTRT,CA-TT
BTRT Mississauga - TT,84,1257 Eglinton Ave E,Mississauga,ON,L4W 1K7,CA,CA Central,43.6335592,-79.62423105,843,,BTRT,CA-TT
BTRT Nisku - TT,71,,Nisku,AB,T9E 0W8,CA,CA West,53.33222138,-113.5439252,713,,BTRT,CA-TT
BTRT North Bay - TT,82,3410 ON-11,North Bay,ON,P1B 8G3,CA,CA Central,46.36581657,-79.46498047,823,,BTRT,CA-TT
BTRT Regina - TT,76,1507 Ross Ave E,Regina,SK,S4N 7E5,CA,CA West,50.46495255,-104.5639671,763,,BTRT,CA-TT
BTRT Rentals - TT,73,,,AB,,CA,CA West,,,733,,BTRT,CA-TT
BTRT Saskatoon - TT,75,303 50 St E,Saskatoon,SK,S7K 6C1,CA,CA West,52.16968858,-106.6662106,753,,BTRT,CA-TT
BTRT Stoney Creek - TT,86,924 S Service Rd,Stoney Creek,ON,L8E 6A2,CA,CA Central,43.22481121,-79.67226719,863,,BTRT,CA-TT
BTRT Sudbury - TT,88,184 Fielding Rd,Lively,ON,P3Y 1L6,CA,CA Central,46.43678012,-81.09806022,883,,BTRT,CA-TT
BTRT Vars - TT,92,275 Corduroy Rd,Vars,ON,K0A 3H0,CA,CA Central,45.32688284,-75.35533993,923,,BTRT,CA-TT
BTRT Whitby - TT,85,1311 Hopkins St,Whitby,ON,L1N 2C2,CA,CA Central,43.87281026,-78.91671983,853,,BTRT,CA-TT
Calgary,104,333 96 Ave Trail NE,Calgary,AB,T3K 0S3,CA,CA West,51.14019484,-114.0638024,1041,403-567-0339,Southern Alberta Division,CA-CF
Cambridge,159,365 Industrial Road,Cambridge,ON,N3H 5S1,CA,CA Central,43.40893133,-80.33413815,1591,,Southwest Ontario,CA-CF
Cambridge_NZ,25,169 State Highway 1B,Cambridge,WKO,3493,NZ,New Zealand,-37.86610922,175.4580274,258,,North Island North,"NZ-AG,NZ-AG"
Campbell River,115,1821 14TH AVE,Campbell River,BC,V9W 4H9,CA,CA West,50.02862562,-125.2688104,1151,250-286-0614,BC Coastal Division,CA-CF
Cardinal - TT,13,2085 Shanly Road (County Road 22),Cardinal,ON,K0E 1E0,CA,CA Central,44.80897709,-75.40166941,133, (613) 657-1300,Transportation ON,"CA-TT,CA-TT"
Castlegar,116,4130 MINTO RD,Castlegar,BC,V1N 4C1,CA,CA West,49.25844141,-117.6576431,1161,250-365-6747,Interior BC Division,CA-CF
Chicoutimi,164,"1430, boulevard du Royaume O., CP 8270",Chicoutimi,QC,G7H 5B1,CA,CA East,48.38811159,-71.11799751,1641,,Eastern Quebec,CA-CF
Claresholm - AG,309,8500 Alberta Road,Claresholm,AB,T0L 0T0,CA,CA West,50.049317,-113.5942582,3091,(403) 625-4421,Southern Alberta,CA-AG
Colac,11,3/345 Princes Hwy,Colac,VIC,3250,AU,Australia,-38.33543594,143.5536643,117,03 5231 6320,Southwest Victoria,"AU-AG,AU-CF"
Corner Brook,171,"12 Maple Valley Road, Unit 1",Corner Brook,NL,A2H 3C2,CA,CA East,48.95422213,-57.91774069,1711,,NFLD & Lab,CA-CF
Coronation - AG,305,4420 Victoria Avenue,Coronation,AB,T0C 1C0,CA,CA West,52.08915032,-111.4362017,3051,(403) 578-3744,Central Alberta,CA-AG
Corp - AG,1009,,Regina,SK,,CA,,,,10092,,Southwest Victoria,"AU-AG,AU-AG"
Corp – Construction,1000,,Edmonton,AB,,CA,,53.5361,-113.4933,10001,,Northern Alberta Division,"CA-CF,AU-AG"
Corp – Forestry,1001,,Edmonton,AB,,CA,,53.5354,-113.4843,10011,,Northern Alberta Division,"CA-CF,AU-AG"
Corp – Gov,1005,,Edmonton,AB,,CA,,53.5354,-113.4933,10051,,Northern Alberta Division,"CA-CF,AU-AG"
Corp - MH,1010,,Regina,SK,,CA,,,,10101,,Saskatchewan / Manitoba Division,CA-CF
Corp – Mining,1007,,Edmonton,AB,,CA,,53.5444,-113.4909,10071,,Northern Alberta Division,"CA-CF,AU-AG"
